Gear_type,fuel_type,location,mileage,name,price,volume_of_fuel,year_of_manufacture
Automatic,Petrol,Karachi,24000,"
MercedesBenzCClass2016C180Exclusivefor...
",0,1600,5
Automatic,Petrol,Karachi,29000,"
ToyotaCorolla2018GLiAutomatic1.3VVTifo...
",2975000.0,1300,3
Automatic,Petrol,Karachi,85000,"
DaihatsuEsse2010XforSale
",1044999.9999999999,660,11
Automatic,Petrol,Karachi,200000,"
ToyotaHiace2016TRH214forSale
",0,2700,5
Automatic,Diesel,Karachi,150000,"
ToyotaLandCruiser100Series2005VXLimited...
",7600000.0,4200,16
Automatic,Petrol,Karachi,85000,"
ToyotaPrius2014SLEDEdition1.8forSale
",2950000.0,1800,7
Automatic,Petrol,Karachi,125000,"
ToyotaHiace2016TRH214forSale
",4250000.0,2700,5
Automatic,Petrol,Karachi,20,"
KIAPicanto20211.0ATforSale
",0,1000,0
Manual,Petrol,Karachi,52000,"
SuzukiCultus2017LimitedEditionforSale
",1395000.0,1000,4
Automatic,Petrol,Karachi,20,"
HondaCity20211.3i-VTECProsmatecforSale
",0,1300,0
Automatic,Petrol,Karachi,32000,"
HondaCity2017AspireProsmatec1.5i-VTECf...
",2765000.0,1500,4
Automatic,Petrol,Karachi,18000,"
ToyotaCorolla2017AltisAutomatic1.6forSale
",3250000.0,1600,4
Automatic,Petrol,Karachi,24000,"
KIASportage2019AWDforSale
",5350000.0,2000,2
Automatic,Petrol,Karachi,22000,"
ToyotaCorolla2020AltisGrandeCVT-i1.8fo...
",4100000.0,1800,1
Automatic,Petrol,Karachi,20,"
KIASportage2021FWDforSale
",5350000.0,2000,0
Automatic,Petrol,Karachi,98000,"
ToyotaPrius2018SforSale
",4550000.0,1800,3
Manual,Petrol,Karachi,66000,"
ToyotaCorolla2016GLi1.3VVTiforSale
",2300000.0,1300,5
Automatic,Petrol,Karachi,96000,"
HondaCivicReborn2007VTiOrielProsmatec1....
",1480000.0,1800,14
Automatic,Petrol,Karachi,137000,"
ToyotaCorolla2011GLiAutomatic1.6VVTifo...
",1850000.0,1600,10
Automatic,Hybrid,Karachi,115000,"
ToyotaSienta2015GforSale
",0,1500,6
Automatic,Hybrid,Karachi,52000,"
ToyotaPrius2017PHV(PlugInHybrid)forSale
",0,1800,4
Automatic,Petrol,Karachi,160000,"
ToyotaHiace2014GLforSale
",3800000.0,2700,7
Automatic,Hybrid,Karachi,101200,"
ToyotaPrius2016SforSale
",3950000.0,1800,5
Automatic,Hybrid,Karachi,60000,"
ToyotaCorollaAxio2017forSale
",0,1500,4
Automatic,Petrol,Karachi,9000,"
ToyotaPrado2018TX2.7forSale
",21000000.0,2700,3
Automatic,Petrol,Karachi,40100,"
ToyotaPrado2016TX2.7forSale
",17300000.0,2700,5
Manual,Petrol,Karachi,216000,"
SuzukiBaleno2003JXRforSale
",735000.0,1300,18
Automatic,Petrol,Karachi,31000,"
DaihatsuMira2018LforSale
",2000000.0,660,3
